# Rescue Logfile. Created by GNU ddrescue version 1.14
# Command line: ddrescue -b 2048 -i 127100M /dev/sdd2 rescue.img rescue.log
# current_pos  current_status
0x1DDBF13000     *
#      pos        size  status
0x1E3823000  0x0007E000  +
0x1E38A1000  0x00002000  *
0x1E38A3000  0x00125000  +
0x1E39C8000  0x0000B000  *
0x1E39D3000  0x0007F000  +
0x1E3A52000  0x00001000  *
0x1E3A53000  0x00089000  +
0x1E3ADC000  0x00007000  *
0x1E3AE3000  0x00083000  +
0x1E3B66000  0x0000D000  *
0x1E3B73000  0x0007D000  +
0x1E3BF0000  0x00003000  *
0x1E3BF3000  0x00087000  +
0x1E3C7A000  0x00009000  *
0x1E3C83000  0x00080000  +
0x1E3D03000  0x00010000  *
0x1E3D13000  0x0007A000  +
0x1E3D8D000  0x00006000  *
0x1E3D93000  0x00121000  +
0x1E3EB4000  0x0000F000  *
0x1E3EC3000  0x00105000  +
0x1E3FC8000  0x0000B000  *
0x1E3FD3000  0x28892000  +
0x20C865000  0x0000E000  *
0x20C873000  0x0019C000  +
0x20CA0F000  0x00004000  *
0x20CA13000  0x00CDD000  +
0x20D6F0000  0x00003000  *
0x20D6F3000  0x0010C000  +
0x20D7FF000  0x00004000  *
0x20D803000  0x00084000  +
0x20D887000  0x0000C000  *
0x20D893000  0x001A1000  +
0x20DA34000  0x0000F000  *
0x20DA43000  0x0017A000  +
0x20DBBD000  0x00006000  *
0x20DBC3000  0x1A73FD000  +
0x3B4FC0000  0x00003000  *
0x3B4FC3000  0x00087000  +
0x3B504A000  0x00009000  *
0x3B5053000  0x00081000  +
0x3B50D4000  0x0000F000  *
0x3B50E3000  0x0007B000  +
0x3B515E000  0x00005000  *
0x3B5163000  0x00085000  +
0x3B51E8000  0x0000B000  *
0x3B51F3000  0x0011C000  +
0x3B530F000  0x00004000  *
0x3B5313000  0x00086000  +
0x3B5399000  0x0000A000  *
0x3B53A3000  0x00080000  +
0x3B5423000  0x00010000  *
0x3B5433000  0x00079000  +
0x3B54AC000  0x00007000  *
0x3B54B3000  0x00083000  +
0x3B5536000  0x0000D000  *
0x3B5543000  0x0007D000  +
0x3B55C0000  0x00003000  *
0x3B55C3000  0x00087000  +
0x3B564A000  0x00009000  *
0x3B5653000  0x00081000  +
0x3B56D4000  0x0000F000  *
0x3B56E3000  0x00118000  +
0x3B57FB000  0x00008000  *
0x3B5803000  0x00082000  +
0x3B5885000  0x0000E000  *
0x3B5893000  0x0007C000  +
0x3B590F000  0x00004000  *
0x3B5913000  0x00085000  +
0x3B5998000  0x0000B000  *
0x3B59A3000  0x0007F000  +
0x3B5A22000  0x00001000  *
0x3B5A23000  0x00089000  +
0x3B5AAC000  0x00007000  *
0x3B5AB3000  0x00083000  +
0x3B5B36000  0x0000D000  *
0x3B5B43000  0x0007D000  +
0x3B5BC0000  0x00003000  *
0x3B5BC3000  0x00124000  +
0x3B5CE7000  0x0000C000  *
0x3B5CF3000  0x0007E000  +
0x3B5D71000  0x00002000  *
0x3B5D73000  0x00088000  +
0x3B5DFB000  0x00008000  *
0x3B5E03000  0x00081000  +
0x3B5E84000  0x0000F000  *
0x3B5E93000  0x0007B000  +
0x3B5F0E000  0x00005000  *
0x3B5F13000  0x00085000  +
0x3B5F98000  0x0000B000  *
0x3B5FA3000  0x0007F000  +
0x3B6022000  0x00001000  *
0x3B6023000  0x00089000  +
0x3B60AC000  0x00007000  *
0x3B60B3000  0x00120000  +
0x3B61D3000  0x00010000  *
0x3B61E3000  0x0007A000  +
0x3B625D000  0x00006000  *
0x3B6263000  0x00084000  +
0x3B62E7000  0x0000C000  *
0x3B62F3000  0x0007D000  +
0x3B6370000  0x00003000  *
0x3B6373000  0x00087000  +
0x3B63FA000  0x00009000  *
0x3B6403000  0x00081000  +
0x3B6484000  0x0000F000  *
0x3B6493000  0x0007B000  +
0x3B650E000  0x00005000  *
0x3B6513000  0x00085000  +
0x3B6598000  0x0000B000  *
0x3B65A3000  0x0011C000  +
0x3B66BF000  0x00004000  *
0x3B66C3000  0x00086000  +
0x3B6749000  0x0000A000  *
0x3B6753000  0x00080000  +
0x3B67D3000  0x00010000  *
0x3B67E3000  0x00079000  +
0x3B685C000  0x00007000  *
0x3B6863000  0x0E8E0000  +
0x3C5143000  0x00010000  *
0x3C5153000  0x00079000  +
0x3C51CC000  0x00007000  *
0x3C51D3000  0x00121000  +
0x3C52F4000  0x0000F000  *
0x3C5303000  0x0007B000  +
0x3C537E000  0x00005000  *
0x3C5383000  0x00084000  +
0x3C5407000  0x0000C000  *
0x3C5413000  0x0007E000  +
0x3C5491000  0x00002000  *
0x3C5493000  0x00088000  +
0x3C551B000  0x00008000  *
0x3C5523000  0x00082000  +
0x3C55A5000  0x0000E000  *
0x3C55B3000  0x0007C000  +
0x3C562F000  0x00004000  *
0x3C5633000  0x00085000  +
0x3C56B8000  0x0000B000  *
0x3C56C3000  0x0011D000  +
0x3C57E0000  0x00003000  *
0x3C57E3000  0x00087000  +
0x3C586A000  0x00009000  *
0x3C5873000  0x00080000  +
0x3C58F3000  0x00010000  *
0x3C5903000  0x0007A000  +
0x3C597D000  0x00006000  *
0x3C5983000  0x00084000  +
0x3C5A07000  0x0000C000  *
0x3C5A13000  0x0007E000  +
0x3C5A91000  0x00002000  *
0x3C5A93000  0x00088000  +
0x3C5B1B000  0x00008000  *
0x3C5B23000  0x00081000  +
0x3C5BA4000  0x0000F000  *
0x3C5BB3000  0x00119000  +
0x3C5CCC000  0x00007000  *
0x3C5CD3000  0x00083000  +
0x3C5D56000  0x0000D000  *
0x3C5D63000  0x0007C000  +
0x3C5DDF000  0x00004000  *
0x3C5DE3000  0x040CB000  +
0x3C9EAE000  0x00005000  *
0x3C9EB3000  0x00085000  +
0x3C9F38000  0x0000B000  *
0x3C9F43000  0x0007F000  +
0x3C9FC2000  0x00001000  *
0x3C9FC3000  0x00089000  +
0x3CA04C000  0x00007000  *
0x3CA053000  0x00083000  +
0x3CA0D6000  0x0000D000  *
0x3CA0E3000  0x0007D000  +
0x3CA160000  0x00003000  *
0x3CA163000  0x00086000  +
0x3CA1E9000  0x0000A000  *
0x3CA1F3000  0x00080000  +
0x3CA273000  0x00010000  *
0x3CA283000  0x00117000  +
0x3CA39A000  0x00009000  *
0x3CA3A3000  0x00081000  +
0x3CA424000  0x0000F000  *
0x3CA433000  0x0007B000  +
0x3CA4AE000  0x00005000  *
0x3CA4B3000  0x00085000  +
0x3CA538000  0x0000B000  *
0x3CA543000  0x0007F000  +
0x3CA5C2000  0x00001000  *
0x3CA5C3000  0x00088000  +
0x3CA64B000  0x00008000  *
0x3CA653000  0x00082000  +
0x3CA6D5000  0x0000E000  *
0x3CA6E3000  0x0007C000  +
0x3CA75F000  0x00004000  *
0x3CA763000  0x00123000  +
0x3CA886000  0x0000D000  *
0x3CA893000  0x0007D000  +
0x3CA910000  0x00003000  *
0x3CA913000  0x00087000  +
0x3CA99A000  0x00009000  *
0x3CA9A3000  0x00081000  +
0x3CAA24000  0x0000F000  *
0x3CAA33000  0x0007B000  +
0x3CAAAE000  0x00005000  *
0x3CAAB3000  0x00084000  +
0x3CAB37000  0x0000C000  *
0x3CAB43000  0x0007E000  +
0x3CABC1000  0x00002000  *
0x3CABC3000  0x00088000  +
0x3CAC4B000  0x00008000  *
0x3CAC53000  0x0011F000  +
0x3CAD72000  0x00001000  *
0x3CAD73000  0x00089000  +
0x3CADFC000  0x00007000  *
0x3CAE03000  0x00083000  +
0x3CAE86000  0x0000D000  *
0x3CAE93000  0x0007D000  +
0x3CAF10000  0x00003000  *
0x3CAF13000  0x00087000  +
0x3CAF9A000  0x00009000  *
0x3CAFA3000  0x00080000  +
0x3CB023000  0x00010000  *
0x3CB033000  0x0007A000  +
0x3CB0AD000  0x00006000  *
0x3CB0B3000  0x00084000  +
0x3CB137000  0x0000C000  *
0x3CB143000  0x0011B000  +
0x3CB25E000  0x00005000  *
0x3CB263000  0x00085000  +
0x3CB2E8000  0x0000B000  *
0x3CB2F3000  0x0007F000  +
0x3CB372000  0x00001000  *
0x3CB373000  0x00089000  +
0x3CB3FC000  0x00007000  *
0x3CB403000  0x00083000  +
0x3CB486000  0x0000D000  *
0x3CB493000  0x0007D000  +
0x3CB510000  0x00003000  *
0x3CB513000  0x00086000  +
0x3CB599000  0x0000A000  *
0x3CB5A3000  0x00080000  +
0x3CB623000  0x00010000  *
0x3CB633000  0x00117000  +
0x3CB74A000  0x00009000  *
0x3CB753000  0x00081000  +
0x3CB7D4000  0x0000F000  *
0x3CB7E3000  0x63315000  +
0x42EAF8000  0x0000B000  *
0x42EB03000  0x0007F000  +
0x42EB82000  0x00001000  *
0x42EB83000  0x00088000  +
0x42EC0B000  0x00008000  *
0x42EC13000  0x0A2E3000  +
0x438EF6000  0x0000D000  *
0x438F03000  0x0007D000  +
0x438F80000  0x00003000  *
0x438F83000  0x00124000  +
0x4390A7000  0x0000C000  *
0x4390B3000  0x0007E000  +
0x439131000  0x00002000  *
0x439133000  0x00088000  +
0x4391BB000  0x00008000  *
0x4391C3000  0x00081000  +
0x439244000  0x0000F000  *
0x439253000  0x0007B000  +
0x4392CE000  0x00005000  *
0x4392D3000  0x00EBF000  +
0x43A192000  0x00001000  *
0x43A193000  0x00089000  +
0x43A21C000  0x00007000  *
0x43A223000  0x00083000  +
0x43A2A6000  0x0000D000  *
0x43A2B3000  0x0007D000  +
0x43A330000  0x00003000  *
0x43A333000  0x00124000  +
0x43A457000  0x0000C000  *
0x43A463000  0x0007E000  +
0x43A4E1000  0x00002000  *
0x43A4E3000  0x00088000  +
0x43A56B000  0x00008000  *
0x43A573000  0x00081000  +
0x43A5F4000  0x0000F000  *
0x43A603000  0x0007B000  +
0x43A67E000  0x00005000  *
0x43A683000  0x00085000  +
0x43A708000  0x0000B000  *
0x43A713000  0x0007F000  +
0x43A792000  0x00001000  *
0x43A793000  0x00089000  +
0x43A81C000  0x00007000  *
0x43A823000  0x00120000  +
0x43A943000  0x00010000  *
0x43A953000  0x0007A000  +
