# Rescue Logfile. Created by GNU ddrescue version 1.14
# Command line: ddrescue -f -n -d /dev/sda /mnt/nas/ddrescue/example.img /mnt/nas/ddrescue/example.log
# current_pos  current_status
0x30E8F7200     ?
#      pos        size  status
0xC0A16C00  0x00010000  *
0xC0A26C00  0x00010000  +
0xC0A36C00  0x00010000  *
0xC0A46C00  0x000D0000  +
0xC0B16C00  0x00010000  *
0xC0B26C00  0x00010000  +
0xC0B36C00  0x00010000  *
0xC0B46C00  0x00050000  +
0xC0B96C00  0x00010000  *
0xC0BA6C00  0x00001200  +
0xC0BA7E00  0x00000200  -
0xC0BA8000  0x0000EE00  *
0xC0BB6E00  0x00010000  +
0xC0BC6E00  0x00010000  *
0xC0BD6E00  0x00230000  +
0xC0E06E00  0x00010000  *
0xC0E16E00  0x00050000  +
0xC0E66E00  0x00010000  *
0xC0E76E00  0x0000C000  +
0xC0E82E00  0x00000200  -
0xC0E83000  0x00004000  *
0xC0E87000  0x00020000  +
0xC0EA7000  0x00010000  *
0xC0EB7000  0x00090000  +
0xC0F47000  0x00010000  *
0xC0F57000  0x00030000  +
0xC0F87000  0x00010000  *
0xC0F97000  0x00140000  +
0xC10D7000  0x00010000  *
0xC10E7000  0x00150000  +
0xC1237000  0x00010000  *
0xC1247000  0x00010000  +
0xC1257000  0x00010000  *
0xC1267000  0x0000FE00  +
0xC1276E00  0x00000200  -
0xC1277000  0x00000200  *
0xC1277200  0x00000200  -
0xC1277400  0x00010000  *
0xC1287400  0x00050000  +
0xC12D7400  0x00010000  *
0xC12E7400  0x00020000  +
0xC1307400  0x00010000  *
0xC1317400  0x00000200  -
0xC1317600  0x00010000  *
0xC1327600  0x00004800  +
0xC132BE00  0x00000200  -
0xC132C000  0x0001B800  *
0xC1347800  0x00037000  +
0xC137E800  0x00010000  *
0xC138E800  0x0000E600  +
0xC139CE00  0x00000200  -
0xC139D000  0x00001A00  *
0xC139EA00  0x00008400  +
0xC13A6E00  0x00000200  -
0xC13A7000  0x00007C00  *
0xC13AEC00  0x00000200  +
0xC13AEE00  0x00000200  -
0xC13AF000  0x0000FE00  *
0xC13BEE00  0x0000C000  +
0xC13CAE00  0x00000200  -
0xC13CB000  0x00004000  *
0xC13CF000  0x00110000  +
0xC14DF000  0x00010000  *
0xC14EF000  0x00010000  +
0xC14FF000  0x00010000  *
0xC150F000  0x0000AE00  +
0xC1519E00  0x00000200  -
0xC151A000  0x00005200  *
0xC151F200  0x00010000  +
0xC152F200  0x00010000  *
0xC153F200  0x00010000  +
0xC154F200  0x00010000  *
0xC155F200  0x00004C00  +
0xC1563E00  0x00000200  -
0xC1564000  0x0000B400  *
0xC156F400  0x00030000  +
0xC159F400  0x00010000  *
0xC15AF400  0x00040000  +
0xC15EF400  0x00010000  *
0xC15FF400  0x00007A00  +
0xC1606E00  0x00000200  -
0xC1607000  0x00008600  *
0xC160F600  0x00004800  +
0xC1613E00  0x00000200  -
0xC1614000  0x0000B800  *
0xC161F800  0x00006600  +
0xC1625E00  0x00000200  -
0xC1626000  0x00009A00  *
0xC162FA00  0x00003400  +
0xC1632E00  0x00000200  -
0xC1633000  0x0000CC00  *
0xC163FC00  0x000B0000  +
0xC16EFC00  0x00010000  *
0xC16FFC00  0x00020000  +
0xC171FC00  0x00010000  *
0xC172FC00  0x00070000  +
0xC179FC00  0x00010000  *
0xC17AFC00  0x00020000  +
0xC17CFC00  0x00010000  *
0xC17DFC00  0x00020000  +
0xC17FFC00  0x00010000  *
0xC180FC00  0x00010000  +
0xC181FC00  0x00010000  *
0xC182FC00  0x0000A200  +
0xC1839E00  0x00000200  -
0xC183A000  0x00005E00  *
0xC183FE00  0x00000200  -
0xC1840000  0x00010000  *
0xC1850000  0x00016E00  +
0xC1866E00  0x00000200  -
0xC1867000  0x00009200  *
0xC1870200  0x00000200  -
0xC1870400  0x00010000  *
0xC1880400  0x00000A00  +
0xC1880E00  0x00000200  -
0xC1881000  0x0001F600  *
0xC18A0600  0x00000200  -
0xC18A0800  0x0003EC00  *
0xC18DF400  0x00000A00  +
0xC18DFE00  0x00000200  -
0xC18E0000  0x0007CE00  *
0xC195CE00  0x00000200  -
0xC195D000  0x000F9C00  *
0xC1A56C00  0x00099200  +
0xC1AEFE00  0x00000200  -
0xC1AF0000  0x0015A600  *
0xC1C4A600  0x000CE800  +
0xC1D18E00  0x00000200  -
0xC1D19000  0x001E6400  *
0xC1EFF400  0x00075C00  +
0xC1F75000  0x00000200  -
0xC1F75200  0x00356C00  *
0xC22CBE00  0x00170000  +
0xC243BE00  0x00000200  -
0xC243C000  0x0053D800  *
0xC2979800  0x00085600  +
0xC29FEE00  0x00000200  -
0xC29FF000  0x009F5A00  *
0xC33F4A00  0x07E3B400  +
0xCB22FE00  0x00010000  *
0xCB23FE00  0x00000200  -
0xCB240000  0x00010000  *
0xCB250000  0x00180000  +
0xCB3D0000  0x00010000  *
0xCB3E0000  0x000A0000  +
0xCB480000  0x00010000  *
0xCB490000  0x00020000  +
0xCB4B0000  0x00010000  *
0xCB4C0000  0x00030000  +
0xCB4F0000  0x00010000  *
0xCB500000  0x00130000  +
0xCB630000  0x00010000  *
0xCB640000  0x00010000  +
0xCB650000  0x00010000  *
0xCB660000  0x00020000  +
0xCB680000  0x00010000  *
0xCB690000  0x00010000  +
0xCB6A0000  0x00010000  *
0xCB6B0000  0x00070000  +
0xCB720000  0x00010000  *
0xCB730000  0x00000200  -
0xCB730200  0x00010000  *
0xCB740200  0x00000C00  +
0xCB740E00  0x00000200  -
0xCB741000  0x0001F400  *
0xCB760400  0x00027A00  +
0xCB787E00  0x00000200  -
0xCB788000  0x00016E00  *
0xCB79EE00  0x000DDC00  +
0xCB87CA00  0x00010000  *
0xCB88CA00  0x0000D400  +
0xCB899E00  0x00000200  -
0xCB89A000  0x00002C00  *
0xCB89CC00  0x00006200  +
0xCB8A2E00  0x00000200  -
0xCB8A3000  0x00009E00  *
0xCB8ACE00  0x00005000  +
0xCB8B1E00  0x00000200  -
0xCB8B2000  0x0000B000  *
0xCB8BD000  0x00090000  +
0xCB94D000  0x00010000  *
0xCB95D000  0x00010000  +
0xCB96D000  0x00010000  *
0xCB97D000  0x0000CE00  +
0xCB989E00  0x00000200  -
0xCB98A000  0x00003200  *
0xCB98D200  0x00060000  +
0xCB9ED200  0x00010000  *
0xCB9FD200  0x00020000  +
0xCBA1D200  0x00010000  *
0xCBA2D200  0x000E0000  +
0xCBB0D200  0x00010000  *
0xCBB1D200  0x00010000  +
0xCBB2D200  0x00010000  *
0xCBB3D200  0x00080000  +
0xCBBBD200  0x00010000  *
0xCBBCD200  0x000A0000  +
0xCBC6D200  0x00010000  *
0xCBC7D200  0x00020000  +
0xCBC9D200  0x00010000  *
0xCBCAD200  0x00060000  +
0xCBD0D200  0x00010000  *
0xCBD1D200  0x00010000  +
0xCBD2D200  0x00010000  *
0xCBD3D200  0x00004C00  +
0xCBD41E00  0x00000200  -
0xCBD42000  0x0000B400  *
0xCBD4D400  0x000F0000  +
0xCBE3D400  0x00010000  *
0xCBE4D400  0x00030000  +
0xCBE7D400  0x00010000  *
0xCBE8D400  0x00002A00  +
0xCBE8FE00  0x00000200  -
0xCBE90000  0x0000D600  *
0xCBE9D600  0x00005800  +
0xCBEA2E00  0x00000200  -
0xCBEA3000  0x0000A800  *
0xCBEAD800  0x00004600  +
0xCBEB1E00  0x00000200  -
0xCBEB2000  0x0000BA00  *
0xCBEBDA00  0x00004400  +
0xCBEC1E00  0x00000200  -
0xCBEC2000  0x0000BC00  *
0xCBECDC00  0x00008200  +
0xCBED5E00  0x00000200  -
0xCBED6000  0x00007E00  *
0xCBEDDE00  0x00000200  -
0xCBEDE000  0x00010000  *
0xCBEEE000  0x00004E00  +
0xCBEF2E00  0x00000200  -
0xCBEF3000  0x0001B200  *
0xCBF0E200  0x0000FC00  +
0xCBF1DE00  0x00000200  -
0xCBF1E000  0x00026800  *
0xCBF44800  0x0001F600  +
0xCBF63E00  0x00000200  -
0xCBF64000  0x0002DA00  *
0xCBF91A00  0x002BB400  +
0xCC24CE00  0x00010000  *
0xCC25CE00  0x00005000  +
0xCC261E00  0x00000200  -
0xCC262000  0x0000B000  *
0xCC26D000  0x00007E00  +
0xCC274E00  0x00000200  -
0xCC275000  0x00008200  *
0xCC27D200  0x00010000  +
0xCC28D200  0x00010000  *
