# Rescue Logfile. Created by GNU ddrescue version 1.14
# Command line: ddrescue --direct -i 6291519b -s 8b --try-again --retrim /dev/sda ./rescue.img ./rescue.log
# current_pos  current_status
0xC0008A00     +
#      pos        size  status
0xB78D8800  0x00000200  -
0xB78D8A00  0x00000400  +
0xB78D8E00  0x00000400  -
0xB78D9200  0x00000200  +
0xB78D9400  0x00000200  -
0xB78D9600  0x00000200  +
0xB78D9800  0x00000400  -
0xB78D9C00  0x00000200  +
0xB78D9E00  0x00004200  -
0xB78DE000  0x00000600  +
0xB78DE600  0x00001800  -
0xB78DFE00  0x00000200  +
0xB78E0000  0x00000600  -
0xB78E0600  0x04725800  +
0xBC005E00  0x00000A00  -
0xBC006800  0x00000200  +
0xBC006A00  0x00000200  -
0xBC006C00  0x00000200  +
0xBC006E00  0x00001000  -
0xBC007E00  0x00000400  +
0xBC008200  0x00000800  -
0xBC008A00  0x00000200  +
0xBC008C00  0x00000800  -
0xBC009400  0x00000200  +
0xBC009600  0x00000400  -
0xBC009A00  0x00000600  +
0xBC00A000  0x00000200  -
0xBC00A200  0x00000600  +
0xBC00A800  0x00000400  -
0xBC00AC00  0x01C12200  +
0xBDC1CE00  0x00000600  -
0xBDC1D400  0x00001A00  +
0xBDC1EE00  0x00000200  -
0xBDC1F000  0x0006BE00  +
0xBDC8AE00  0x00000C00  -
0xBDC8BA00  0x00000200  +
0xBDC8BC00  0x00000400  -
0xBDC8C000  0x00000600  +
0xBDC8C600  0x00000200  -
0xBDC8C800  0x00000600  +
0xBDC8CE00  0x00000800  -
0xBDC8D600  0x00001C00  +
0xBDC8F200  0x00000200  -
0xBDC8F400  0x00001E00  +
0xBDC91200  0x00000400  -
0xBDC91600  0x00002800  +
0xBDC93E00  0x00000400  -
0xBDC94200  0x00001C00  +
0xBDC95E00  0x00000200  -
0xBDC96000  0x0000EE00  +
0xBDCA4E00  0x00000800  -
0xBDCA5600  0x00000200  +
0xBDCA5800  0x00000200  -
0xBDCA5A00  0x00000400  +
0xBDCA5E00  0x00000800  -
0xBDCA6600  0x00000200  +
