# Rescue Logfile. Created by GNU ddrescue version 1.17
# Command line: ddrescue -d /dev/sdb /home/rescue/image.img /home/rescue/rescuelog.log
# current_pos  current_status
0x649127000     ?
#      pos        size  status
0x14FBAE00  0x00001000  *
0x14FBBE00  0x000B4000  +
0x1506FE00  0x0000C000  *
0x1507BE00  0x000E0000  +
0x1515BE00  0x00010000  *
0x1516BE00  0x0004D000  +
0x151B8E00  0x00003000  *
0x151BBE00  0x0008B000  +
0x15246E00  0x00005000  *
0x1524BE00  0x00001000  +
0x1524CE00  0x00000200  -
0x1524D000  0x0000F000  *
0x1525C000  0x00047E00  +
0x152A3E00  0x00008000  *
0x152ABE00  0x00086000  +
0x15331E00  0x0000A000  *
0x1533BE00  0x00000200  -
0x1533C000  0x00010000  *
0x1534C000  0x000D0E00  +
0x1541CE00  0x0000F000  *
0x1542BE00  0x0004E000  +
0x15479E00  0x00002000  *
0x1547BE00  0x00004000  +
0x1547FE00  0x00000200  -
0x15480000  0x0000C000  *
0x1548C000  0x0007CE00  +
0x15508E00  0x00003000  *
0x1550BE00  0x00003000  +
0x1550EE00  0x00000200  -
0x1550F000  0x0000D000  *
0x1551C000  0x00049E00  +
0x15565E00  0x00006000  *
0x1556BE00  0x000E5000  +
0x15650E00  0x0000B000  *
0x1565BE00  0x000AA000  +
0x15705E00  0x00006000  *
0x1570BE00  0x00000200  -
0x1570C000  0x00010000  *
0x1571C000  0x00020E00  +
0x1573CE00  0x0000F000  *
0x1574BE00  0x000A6000  +
0x157F1E00  0x0000A000  *
0x157FBE00  0x00000200  -
0x157FC000  0x00010000  *
0x1580C000  0x000D0E00  +
0x158DCE00  0x0000F000  *
0x158EBE00  0x0004E000  +
0x15939E00  0x00002000  *
0x1593BE00  0x0008C000  +
0x159C7E00  0x00004000  *
0x159CBE00  0x00002000  +
0x159CDE00  0x00000200  -
0x159CE000  0x0000E000  *
0x159DC000  0x00048E00  +
0x15A24E00  0x00007000  *
0x15A2BE00  0x00087000  +
0x15AB2E00  0x00009000  *
0x15ABBE00  0x00001000  +
0x15ABCE00  0x00000200  -
0x15ABD000  0x0000F000  *
0x15ACC000  0x000D2E00  +
0x15B9EE00  0x0000D000  *
0x15BABE00  0x00050000  +
0x15BFBE00  0x00010000  *
0x15C0BE00  0x0007E000  +
0x15C89E00  0x00002000  *
0x15C8BE00  0x00004000  +
0x15C8FE00  0x00000200  -
0x15C90000  0x0000C000  *
0x15C9C000  0x001EBE00  +
0x15E87E00  0x00004000  *
0x15E8BE00  0x00002000  +
0x15E8DE00  0x00000200  -
0x15E8E000  0x0000E000  *
0x15E9C000  0x000D6E00  +
0x15F72E00  0x00009000  *
0x15F7BE00  0x00001000  +
0x15F7CE00  0x00000200  -
0x15F7D000  0x0000F000  *
0x15F8C000  0x000D1E00  +
0x1605DE00  0x0000E000  *
0x1606BE00  0x000DD000  +
0x16148E00  0x00003000  *
0x1614BE00  0x00003000  +
0x1614EE00  0x00000200  -
0x1614F000  0x0000D000  *
0x1615C000  0x00049E00  +
0x161A5E00  0x00006000  *
0x161ABE00  0x00089000  +
0x16234E00  0x00007000  *
0x1623BE00  0x00003000  +
0x1623EE00  0x00000200  -
0x1623F000  0x0000D000  *
0x1624C000  0x000D3E00  +
0x1631FE00  0x0000C000  *
0x1632BE00  0x000E0000  +
0x1640BE00  0x00010000  *
0x1641BE00  0x001ED000  +
0x16608E00  0x00003000  *
0x1660BE00  0x00003000  +
0x1660EE00  0x00000200  -
0x1660F000  0x0000D000  *
0x1661C000  0x000D7E00  +
0x166F3E00  0x00008000  *
0x166FBE00  0x00002000  +
0x166FDE00  0x00000200  -
0x166FE000  0x0000E000  *
0x1670C000  0x000D2E00  +
0x167DEE00  0x0000D000  *
0x167EBE00  0x000DF000  +
0x168CAE00  0x00001000  *
0x168CBE00  0x00005000  +
0x168D0E00  0x00000200  -
0x168D1000  0x0000B000  *
0x168DC000  0x000D9E00  +
0x169B5E00  0x00006000  *
0x169BBE00  0x00000200  -
0x169BC000  0x00010000  *
0x169CC000  0x000D4E00  +
0x16AA0E00  0x0000B000  *
0x16AABE00  0x00000200  -
0x16AAC000  0x00010000  *
0x16ABC000  0x000D0E00  +
0x16B8CE00  0x0000F000  *
0x16B9BE00  0x001EE000  +
0x16D89E00  0x00002000  *
0x16D8BE00  0x00008000  +
0x16D93E00  0x00000200  -
0x16D94000  0x00008000  *
0x16D9C000  0x000D8E00  +
0x16E74E00  0x00007000  *
0x16E7BE00  0x00003000  +
0x16E7EE00  0x00000200  -
0x16E7F000  0x0000D000  *
0x16E8C000  0x000D4E00  +
0x16F60E00  0x0000B000  *
0x16F6BE00  0x00000200  -
0x16F6C000  0x00010000  *
0x16F7C000  0x000CFE00  +
0x1704BE00  0x00010000  *
0x1705BE00  0x000DB000  +
0x17136E00  0x00005000  *
0x1713BE00  0x00001000  +
0x1713CE00  0x00000200  -
0x1713D000  0x0000F000  *
0x1714C000  0x000D6E00  +
0x17222E00  0x00009000  *
0x1722BE00  0x00001000  +
0x1722CE00  0x00000200  -
0x1722D000  0x0000F000  *
0x1723C000  0x000D1E00  +
0x1730DE00  0x0000E000  *
0x1731BE00  0x001EF000  +
0x1750AE00  0x00001000  *
0x1750BE00  0x00005000  +
0x17510E00  0x00000200  -
0x17511000  0x0000B000  *
0x1751C000  0x000DAE00  +
0x175F6E00  0x00005000  *
0x175FBE00  0x00001000  +
0x175FCE00  0x00000200  -
0x175FD000  0x0000F000  *
0x1760C000  0x000D5E00  +
0x176E1E00  0x0000A000  *
0x176EBE00  0x00000200  -
0x176EC000  0x00010000  *
0x176FC000  0x000D0E00  +
0x177CCE00  0x0000F000  *
0x177DBE00  0x000DD000  +
0x178B8E00  0x00003000  *
0x178BBE00  0x00003000  +
0x178BEE00  0x00000200  -
0x178BF000  0x0000D000  *
0x178CC000  0x000D7E00  +
0x179A3E00  0x00008000  *
0x179ABE00  0x00002000  +
0x179ADE00  0x00000200  -
0x179AE000  0x0000E000  *
0x179BC000  0x000D2E00  +
0x17A8EE00  0x0000D000  *
0x17A9BE00  0x001F1000  +
0x17C8CE00  0x0000F000  *
0x17C9BE00  0x000DC000  +
0x17D77E00  0x00004000  *
0x17D7BE00  0x00002000  +
0x17D7DE00  0x00000200  -
0x17D7E000  0x0000E000  *
0x17D8C000  0x000D6E00  +
0x17E62E00  0x00009000  *
0x17E6BE00  0x00001000  +
0x17E6CE00  0x00000200  -
0x17E6D000  0x0000F000  *
0x17E7C000  0x000D2E00  +
0x17F4EE00  0x0000D000  *
0x17F5BE00  0x000DE000  +
0x18039E00  0x00002000  *
0x1803BE00  0x00008000  +
0x18043E00  0x00000200  -
0x18044000  0x00008000  *
0x1804C000  0x000D8E00  +
0x18124E00  0x00007000  *
0x1812BE00  0x00003000  +
0x1812EE00  0x00000200  -
0x1812F000  0x0000D000  *
0x1813C000  0x000D4E00  +
0x18210E00  0x0000B000  *
0x1821BE00  0x00000200  -
0x1821C000  0x00010000  *
0x1822C000  0x001E1E00  +
0x1840DE00  0x0000E000  *
0x1841BE00  0x000DD000  +
0x184F8E00  0x00003000  *
0x184FBE00  0x00003000  +
0x184FEE00  0x00000200  -
0x184FF000  0x0000D000  *
0x1850C000  0x000D8E00  +
0x185E4E00  0x00007000  *
0x185EBE00  0x00003000  +
0x185EEE00  0x00000200  -
0x185EF000  0x0000D000  *
0x185FC000  0x000D3E00  +
0x186CFE00  0x0000C000  *
0x186DBE00  0x000DF000  +
0x187BAE00  0x00001000  *
0x187BBE00  0x00005000  +
0x187C0E00  0x00000200  -
0x187C1000  0x0000B000  *
0x187CC000  0x000DAE00  +
0x188A6E00  0x00005000  *
0x188ABE00  0x00005000  +
0x188B0E00  0x00000200  -
0x188B1000  0x0000B000  *
0x188BC000  0x000D5E00  +
0x18991E00  0x0000A000  *
0x1899BE00  0x00000200  -
0x1899C000  0x00010000  *
0x189AC000  0x000DAE00  +
0x18A86E00  0x00005000  *
0x18A8BE00  0x00103000  +
0x18B8EE00  0x0000D000  *
0x18B9BE00  0x000DF000  +
0x18C7AE00  0x00001000  *
0x18C7BE00  0x00009000  +
0x18C84E00  0x00000200  -
0x18C85000  0x00007000  *
0x18C8C000  0x000D9E00  +
0x18D65E00  0x00006000  *
0x18D6BE00  0x00000200  -
0x18D6C000  0x00010000  *
0x18D7C000  0x000D4E00  +
0x18E50E00  0x0000B000  *
0x18E5BE00  0x00000200  -
0x18E5C000  0x00010000  *
0x18E6C000  0x000D0E00  +
0x18F3CE00  0x0000F000  *
0x18F4BE00  0x000DC000  +
0x19027E00  0x00004000  *
0x1902BE00  0x00002000  +
0x1902DE00  0x00000200  -
0x1902E000  0x0000E000  *
0x1903C000  0x000D6E00  +
0x19112E00  0x00009000  *
0x1911BE00  0x00001000  +
0x1911CE00  0x00000200  -
0x1911D000  0x0000F000  *
0x1912C000  0x000DCE00  +
0x19208E00  0x00003000  *
0x1920BE00  0x00105000  +
0x19310E00  0x0000B000  *
0x1931BE00  0x000E0000  +
0x193FBE00  0x00010000  *
0x1940BE00  0x000DB000  +
0x194E6E00  0x00005000  *
0x194EBE00  0x00005000  +
0x194F0E00  0x00000200  -
0x194F1000  0x0000B000  *
0x194FC000  0x000D6E00  +
0x195D2E00  0x00009000  *
0x195DBE00  0x00001000  +
0x195DCE00  0x00000200  -
0x195DD000  0x0000F000  *
0x195EC000  0x000D1E00  +
0x196BDE00  0x0000E000  *
0x196CBE00  0x000DD000  +
0x197A8E00  0x00003000  *
0x197ABE00  0x00003000  +
0x197AEE00  0x00000200  -
0x197AF000  0x0000D000  *
0x197BC000  0x000D8E00  +
0x19894E00  0x00007000  *
0x1989BE00  0x00003000  +
0x1989EE00  0x00000200  -
0x1989F000  0x0000D000  *
0x198AC000  0x000DDE00  +
0x19989E00  0x00002000  *
0x1998BE00  0x00106000  +
0x19A91E00  0x0000A000  *
0x19A9BE00  0x000E1000  +
0x19B7CE00  0x0000F000  *
0x19B8BE00  0x000DD000  +
0x19C68E00  0x00003000  *
0x19C6BE00  0x00003000  +
0x19C6EE00  0x00000200  -
0x19C6F000  0x0000D000  *
0x19C7C000  0x000D7E00  +
0x19D53E00  0x00008000  *
0x19D5BE00  0x00002000  +
0x19D5DE00  0x00000200  -
0x19D5E000  0x0000E000  *
0x19D6C000  0x000D2E00  +
0x19E3EE00  0x0000D000  *
0x19E4BE00  0x000DF000  +
0x19F2AE00  0x00001000  *
0x19F2BE00  0x00005000  +
0x19F30E00  0x00000200  -
0x19F31000  0x0000B000  *
0x19F3C000  0x000D9E00  +
0x1A015E00  0x00006000  *
0x1A01BE00  0x00000200  -
0x1A01C000  0x00010000  *
0x1A02C000  0x000D4E00  +
0x1A100E00  0x0000B000  *
0x1A10BE00  0x00000200  -
0x1A10C000  0x00010000  *
0x1A11C000  0x001E2E00  +
0x1A2FEE00  0x0000D000  *
0x1A30BE00  0x000DE000  +
0x1A3E9E00  0x00002000  *
0x1A3EBE00  0x00004000  +
0x1A3EFE00  0x00000200  -
0x1A3F0000  0x0000C000  *
0x1A3FC000  0x000D8E00  +
0x1A4D4E00  0x00007000  *
0x1A4DBE00  0x00003000  +
0x1A4DEE00  0x00000200  -
0x1A4DF000  0x0000D000  *
0x1A4EC000  0x000D4E00  +
0x1A5C0E00  0x0000B000  *
0x1A5CBE00  0x00000200  -
0x1A5CC000  0x00010000  *
0x1A5DC000  0x000CFE00  +
